text,expected,predicted
"И тем не менее, какие товары многочисленные заводы нам дают как потребителям?
",0.0,0.0
"Познер для ваты патриот или либераст?
",0.0,0.0
"Насчёт ардуино - не знаю из-за настроек или из-за среды, но в WinXP некоторые программы, в которых нет ошибок, не компилируются. А в win7 без проблем. Насчёт других компиляторов для Ардуины. Да я как-то одним глазом посмотрел на родной компилятор. Там всё хорошо, красиво, но сцука, нет никакого смысла изучать наизусть все таймеры, прерывания, и т.п. для ещё одного мёртвого процессора Atmega328 (после Z80, i8086, i386). Насчёт jit отладки. Я так понимаю это сильно ореинтированная на компилятор и на железо функция. Поэтому изучаемые, покупаемые коллекционируемые и т.п. материалы по изучаемой теме должны быть актуальны на много лет вперёд, чтоб не получилось, как с перечеисленными выше мёртвыми процессорам... Очень непонятно какое железо проживёт столько времени.
",0.0,0.0
"Можно проще, камера, онлайн трансляция оператору мины и он решает когда и как, обрыв сигнала детонация
",0.0,0.0
"Не досмотрел. Не выдержал. ВЕЛИКОЛЕПНОЕ ВИДЕО! ТАК ДЕРЖАТЬ! Досмотрел! ВЕЛИКОЛЕПНАЯ РАБОТА!
",1.0,0.0
"тебя оставить на полгода без порнушки и секса и не в такое начнешь тыкать)
",1.0,1.0
"Если умерло 136, то болело тысяч тридцать, не менее того.
",0.0,0.0
"я думаю у банков и так полно денег за счет тех, кто платит. Плюс им по любому правительство ОАЭ помогло налогами
",0.0,0.0
"Два великовозрастных долбоеба приняли ислам именно в этой мечети. Мамка-шлюха и куколд-отчим с этим не смогли ничего сделать, и дебилы отправились в запрещенное в россии террористическое государство. Там, посредством роботизированного средства доставки демократии они вновь приняли ислам, теперь уже по настоящему.
",1.0,0.0
"А ещё в 2019 году можно пользоваться календарями 2013, 2002 и т.д. Кстати, я им и про это говорила. Что даже годы повторяются.
",0.0,0.0
"вчера только был пост, где мужик электрогитару сделал такую же, может это он же?
",0.0,0.0
"докидывать 10К как то жалко
",0.0,0.0
"это для ножного управления, подходят современные моторчики. Уже тогда планировали модернизацию таких машинок. Но из всех копий и лицензий достойно у нас получился только КАМАЗ, наши швейные машинки хоть и копии Зингера, а в подметки ему не годятся. Капризные, легко ломаются, признают только одни руки, золотое дно для наладчиков. То ли дело или старинный Зингер или современные модели, хоть и пластик, а хрен им что сделается, главное не ронять и не бить по ним.
",0.0,0.0
"Когда в России отключили интернет?
",0.0,0.0
"Например, может быть супер-сет какой-то с отдыхом, круговая тренировка иль просто с кем-то поговорить стал. Вариантов много
",0.0,0.0
"Автор больной ублюдок радеющий за скрепы и духовность.
",1.0,0.0
"Есть кабинет дежурного врача, куда можно попасть через общий вход. И к дежурному врачу можно прийти только первый раз. Потом ты обязан идти к педиатру, но все же знают, что только что переболевший человек ещё 3-5 дней (плюс минус) может заразить другого. У меня вопрос не к родителям, все мамы и папы хотят только здоровья для своих детей. Вопрос к администрации поликлиники, которая не доводит до этих самых родителей правила приёма и их измннение.
",0.0,0.0
"Я уже отдал тебе, его нельзя вернуть или передать кому то другому. Просто что то отрывается от души и уходит кому то, это может быть спонтанно или даже глупо. Но факт остаётся фактом...",0.0,0.0
"Сколько 50К м2 ???!!!!! Блин 5К м2.
",0.0,0.0
"вы же понимаете, что для любой техники важна актуальность? Смысл пускать в серию заведомо устаревший и уступающий конкурентам аппарат?
",0.0,0.0
"Так на стену добавляют, а не удаляют. Не?
",1.0,0.0
"Я как-то купил партию в 50 ноунейм ламп на Али, по очень вкусному ценнику. Постоянно установлены из них 32, за почти три года сдохли только 2. С тех пор не вижу смысла брать оверпрайс хлам в наших ритейлах.
",0.0,0.0
"Карьерная лестница в России.
",0.0,0.0
"Обратит вниманиа на шкалу - ALL AGES
",0.0,0.0
"Чувак, тыж за мою девушку тут треп развел, смотрю метишь на место девушки, остроумием блещешь. Ты вот чем не доволен? Сам пришел, сам заявился. Что не так то? За мою девушку себя выставляешь, а я девушкам не отказываю.
",0.0,1.0
"мам, подсос! Сука какие же дауны на доске со мной сидят. Ты уже должен понять, что вся эта ваша пиздецома заебала нормальных людей, пошутили и хватит, тесач-обсуждение тес, для всего остального есть б или в худем случае ga. Я ваше мерзкое говно устал скрывать, лови сагу гнида.
",1.0,1.0
"Еще у нас выявляют трещины с помощью белой краски и магнитной краски, потом прислоняют большой магнит и трещины проявляются. Не знаю как этот метод называется, у нас швы труб до 300мм им проверяют
",0.0,0.0
"Тоже как то не очень, вы открыли сауну и все клиенты у вас по безналу с ООО",0.0,0.0
"Это 60р в час выходит? Чето дорого капец. В Казани в 1999-2000 году, помню, час игры на Сеге стоил 12 рублей, на PS1 - 15 рублей, а за 20 можно было целый час рубиться в компьютер. Джойстики для Сеги тогда стоили 60-70 рублей. И Мегадрайв в 1999 году мне купили, как сейчас помню, за 690 рублей. ХЗ где автор нашел ее аж за полтора косаря.
",0.0,0.0
"Бог ты мой... 2000-й... как сладок был мой первый интернет...
",1.0,1.0
"оставляю птицу на 10 и 15 дней , все нормально
",0.0,0.0
"Апельсиновый сок тоже вкусный. Но агрессивный маркетинг привёл к непопулярности напитка в Азии.
",0.0,0.0
"Не тупые, а ебанутые (как говорит мой муж). У некоторых особей просто гадкий характер, прямо как у людей
",1.0,1.0
"Премного благодарен за информацию)
",0.0,1.0
"Это же казахи, самая куколдская нация в мире.
",1.0,0.0
"Богом данный для фальшивого пения рот!
",1.0,1.0
"Для очистки норм заходит уксус или лимонная кислота. У меня, правда, в основном соли были, железа крайне мало, но солей куча. А новый дистиллятор стоит лютых денег, наш завод на 5 литров час покупал за овер 50 000 руб. Хотя, тот же самогонный аппарат(грубо говоря), только из нержи.
",0.0,0.0
"Можно же совмещать:3Быть молодым, целеустремлённым, ленным, полным надежд глупцом:3
",0.0,0.0
"Тоже в зале наблюдала особу, занявшую лавку для упражнений, пока ее совсем маленькая дочь ползала рядом. Ползала! т.е. ребенок даже не ходящий, в ползунках. Она уползала постоянно от этой лавки к жимовой скамье, ревела когда ее другие люди оттаскивали от места, где могло прилететь штангой, облизывала висящие рядом блины и истошно вопила, когда у нее мужики эти блины отнимали. Там на нее легко было наступить, уронить блин, уронить блин непосредственно со штанги если б съехал. Мамашка сидела в телефоне и не забирала ребенка сама, обычно ей его приносили, ну и периодически, не отрываясь от чатиков, она протяжно взывала Аааняяяяя! нууу Ааняяяяя, куда ты, вернись сюда! - будто пускающая ещё слюни Аня адекватно все поймет и рассудит, мол ёмаё и правда, куда же я, и придет пешочком к матери спокойно сидеть на попе ровно и не отвлекать ее. Такие женщины рожают мозг вместе с ребенком.
",1.0,0.0
"А че хазарские чернявые цээуропейцы не взяли, а сколько нахрюков переможных было и картиночек?
",1.0,0.0
"А что, в нем уже есть звонки с хорошим звуком? А видеозвонки уже передают что кроме бесформенного пятна? А на телефоне им можно пользоваться так, чтобы работали push уведомления и батарейка держала больше нескольких часов? А с 2х и более устройств можно одновременно сидеть? Пробовал им пользовался 2 года назад, и он создал впечатление очень и очень сырой вещи.
",0.0,0.0
"Какие группы продвигают панк идею у нас в 80-х годах ?Сектор воровал музыку, но хоть тексты были свои. Которые описывали то что происходит с нами или вокруг нас. А сейчас не стесняясь тырят и то и то. Начиная от попсы, заканчивая репом и прочими.
",0.0,0.0
"Так это ты ему неадекватно пишешь
",1.0,1.0
"Всё, что следует знать о тв
",0.0,0.0
"можно сделать шлем более открытым и выделяющимся среди других или цветом как то выделить, Оливер Стоун эту проблему решил В Александре .
",0.0,0.0
"Где они учатся увечья имитировать ?
",0.0,0.0
"Мне похер на оценки.Всегда пишу то,что думаю.",0.0,0.0
"Перекуп никогда не будет выставлять машину по середине рынка, его хлеб это оборот средств, сегодня купил завтра надо продать и прищепить полтосик, даже не формальная градация есть, первые две страницы авто ру (если память не изменяет мне на странице 46 обьяв) там тусуются только перекупы, и все машины (бывают исключения) на первых двух страницах будут (помогаю продавать, сын ушёл в армию, дед умер и тп) и только с третьей четвёртой пойдут уже частники
",0.0,0.0
"В среднем у каждого человека около 10 пальцев на руках и около 10 на ногах...
",0.0,0.0
"Хохлы не смешно писать от имени россиян.
",1.0,0.0
"Так все предыдущие и появлялись: выйду во двор, а тут котейка, и сразу понятно, что к нам. А теперь, похоже, их разбирают ещё на подходе к нам )
",0.0,0.0
"Как интересно хуемрази описали ситуацию, а то что хуемразь разбила автомобиль, уголовное дело возбудят?
",0.0,0.0
"Сраный Самсунг j3, два года служит, активно используется в течении дня. Батарея на 2600 mah, в течении дня не заряжаю, прихожу домой ещё 20-40 . У коллеги айфон 7, у шефа Х, в течении дня висят на зарядках. Играем с шефом в одни игры, звонит он немного больше, но я ещё на Пикабу зависаю.
",0.0,0.0
"Любимая часть. Прошёл раз 10 не меньше)
",0.0,0.0
"кто это вообще, страшная даже дрочить неохота
",1.0,0.0
"Вообще-то предназначена Обочина - элемент дороги, примыкающий непосредственно к проезжей части на одном уровне с ней, отличающийся типом покрытия или выделенный с помощью разметки 1.2 используемый для движения, остановки и стоянки в соответствии с Правилами дорожного движения 2019-2018 России(РФ).
",0.0,0.0
"Дичь какая-то. Чего только человек не придумает для себя
",0.0,0.0
"Во времена корейской войны управляемые ракеты ещё не придумали, так что успешно применяли всё те же пушки и пулемёты, что и во Вторую Мировую.
",0.0,1.0
"Миллион долларов из фонда Чаплина )
",0.0,0.0
"Сиськи-то тоже надо было приложить, возможно история интереснее
",0.0,0.0
"Что ты имеешь против кремля, холоп заморского барина?",1.0,1.0
"Свин, иди нахуй. Можно хоть один тред без политоты? Даже тебя хуеосить не хочется, давай лучше про няшек-фигуристок говорить.
",1.0,1.0
"Война в книгах была где в середине 2012 года. И если взять во внимание то, что книга была написана в 2002-2005, а может и ещё раньше начинал её писать, то вполне возможна советская обстановка в квартирах. Если не ошибаюсь, в одной из книг Дмитрия, был момент, где один из знакомых Артема говорил что у него японка в гараже рабочая, что во времена до апокалипсиса было роскошью и не у всех был такой транспорт.
",0.0,0.0
"блять, вы с хохлами заебали - а сейчас ещё и всё казахское говно сюда в po притащите
",1.0,0.0
"Пойду узнаю как оформить визу
",0.0,1.0
"года три вообще ни в какую лазить не надо будет. про автоваз не в курсе. даже при таксишном пробеге за три года ушатать машину это надо на нее очень, очень большой болт положить.
",0.0,0.0
"Только вот РОА воевало под андреевским флагом...
",1.0,0.0
"За это время куча народа скинула, но почти все набрали обратно. Единицы дальше идут. У Антона ни одного ролика нет про Ухтомского, а это единственная возможность не набрать вес обратно. Это только самому надо искать или из новой книги Базилио, но там очень кратко. Антон и сам сейчас штудирует Ухтомского и Курпатова.
",0.0,0.0
"а у меня наше время ассоциируется с интернетом и огромным выбором медиа продуктов. Я вот допустим с начала этого года посмотрел уже примерно 50 фильмов разных стран заплатив 0 рублей. Советский киноман о таком тогда мог только мечтать.
",0.0,0.0
"Лига художников -- можно Ивашке уши Мики Мауса, или как нибудь по другому объединить двух балбесов в один персонаж
",1.0,0.0
"Приведите эти исследования, пожалуйста. И помните, что Реклама не считается исследованием. И тем не менее, гигантская агрессивная маркетинговая компания свернулась, несмотря на прибыль, когда именно исследования показали вред курения. И ни огромные прибыли табачных корпораций, ни их влияние, не остановили антитабачные исследования и борьбу с курением. Потому что это не так работает. Если бы все было куплено, у нас по-прежнему считалось бы курение полезным, Вы так не думаете?
",0.0,0.0
